TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm, 
1617velv-casd-lj1,4216,Rise of Hephaestus,4,8,156,90,6,,0.67,42.6,38.2,
1617velv-casd-lj1,8097,Botcats,5,8,151,80,6,,0.67,15.5,16.6,
1617velv-casd-lj1,11288,Seminerds,6,8,76,65,6,,0.67,9.1,11.0,
1617velv-casd-lj1,11128,Inspiration,7,6,182,60,6,,0.50,36.5,32.1,
1617velv-casd-lj1,3513,Domo Arigato,8,6,125,90,6,,0.50,26.6,24.7,
1617velv-casd-lj1,4278,De.Evolution,9,6,120,100,6,,0.50,15.1,17.3,
1617velv-casd-lj1,3712,Purple F.E.A.R. (Fierce Eagle Advanced Robotics),10,4,140,76,6,,0.33,4.1,6.9,
1617velv-casd-lj1,9367,Torrey Techies White,11,4,94,75,6,,0.33,10.8,12.3,
1617velv-casd-lj1,8742,RoboTechs,12,4,90,65,6,,0.33,12.2,12.5,
1617velv-casd-lj1,11411,Cherry Pi,13,4,71,70,6,,0.33,5.2,7.6,
1617velv-casd-lj1,9837,Ravenettes,14,2,130,46,6,,0.17,4.5,7.0,
1617velv-casd-lj1,7159,Robo Ravens,15,0,110,45,6,,0.00,-4.0,0.4,
1617velv-casd-fp1,5229,Dragons,1,12,79,70,6,,1.00,41.4,36.1,
1617velv-casd-fp1,10092,Green.Griffins,2,10,107,50,6,,0.83,30.5,26.4,
1617velv-casd-fp1,4262,Ridgebots,3,10,63,40,6,,0.83,10.2,10.6,
1617velv-casd-fp1,8039,Return of the Adrenaline Snails,4,8,74,54,6,,0.67,22.4,21.1,
1617velv-casd-fp1,5540,Skynet,5,8,70,40,6,,0.67,23.2,21.1,
1617velv-casd-fp1,5131,Pointers,6,6,54,40,6,,0.50,5.3,6.1,
1617velv-casd-fp1,11278,Virtually Creative,7,6,45,50,6,,0.50,9.4,9.7,
1617velv-casd-fp1,5135,Team Uncopyrightable,8,6,38,41,6,,0.50,-2.5,0.6,
1617velv-casd-fp1,9261,Level Up,9,4,103,40,6,,0.33,8.5,8.5,
1617velv-casd-fp1,11107,Wired Up,10,4,86,45,6,,0.33,4.7,6.5,
1617velv-casd-fp1,8000,Team Paradox3,11,4,70,50,6,,0.33,10.9,10.6,
1617velv-casd-fp1,8380,UC Robotics,12,4,61,50,6,,0.33,1.3,3.8,
1617velv-casd-fp1,11285,PATENT PENDING,13,4,42,70,6,,0.33,8.0,9.3,
1617velv-casd-fp1,9266,Pyrobots,14,2,71,40,6,,0.17,6.1,6.2,
1617velv-casd-fp1,10564,iMiddle Robotics,15,2,45,50,6,,0.17,1.4,3.0,
1617velv-casd-rr1,11212,The Clueless,1,12,120,145,6,,1.00,76.6,67.0,
1617velv-casd-rr1,8471,The Ducks,2,10,122,105,6,,0.83,57.4,51.2,
1617velv-casd-rr1,3848,Shockwave,3,8,267,120,6,,0.67,42.8,40.4,
1617velv-casd-rr1,11328,Foothills Engineers,4,8,112,60,6,,0.67,7.7,11.2,
1617velv-casd-rr1,9049,RoboPuffs,5,7,178,145,6,,0.58,20.6,23.9,
1617velv-casd-rr1,12406,Hakuna Automata,6,6,108,120,6,,0.50,21.1,22.4,
1617velv-casd-rr1,8606,RSF Intergalactic Dragons,7,6,101,80,6,,0.50,21.2,20.2,
1617velv-casd-rr1,9164,Zorrobots,8,5,207,85,6,,0.42,30.6,28.1,
1617velv-casd-rr1,9022,T-Wrecks,9,5,195,70,6,,0.42,14.0,16.1,
1617velv-casd-rr1,7696,RSF Singularity,10,5,173,70,6,,0.42,30.2,25.9,
1617velv-casd-rr1,8605,RSF Logitechies,11,5,170,120,6,,0.42,39.7,33.7,
1617velv-casd-rr1,12405,Game of Drones,12,4,107,80,6,,0.33,6.7,10.5,
1617velv-casd-rr1,10793,Voltrons,13,4,62,100,6,,0.33,-1.4,3.3,
1617velv-casd-rr1,5015,Buffalo Wings,14,3,78,43,6,,0.25,-16.1,-7.7,
1617velv-casd-rr1,6226,Bambusa,15,2,100,50,6,,0.17,-3.8,-0.1,
1617velv-casd-ec,9441,Syndicate,1,12,220,150,6,,1.00,82.5,71.7,
1617velv-casd-ec,11656,Neutron Stars,2,11,120,150,6,,0.92,33.1,32.3,
1617velv-casd-ec,6016,Ironwolves,3,10,125,80,6,,0.83,-0.7,4.8,
1617velv-casd-ec,9920,Furious Falcons,4,8,162,85,6,,0.67,44.8,39.1,
1617velv-casd-ec,6074,RAWALA (Robot Assemblers With A Long Acronym),5,8,150,80,6,,0.67,23.9,22.6,
1617velv-casd-ec,11350,Sloth Slowbotics,6,8,82,95,6,,0.67,14.1,14.8,
1617velv-casd-ec,8472,ROBOTATOES,7,6,167,57,6,,0.50,14.8,16.3,
1617velv-casd-ec,9892,EngiNERDs,8,5,100,85,6,,0.42,14.6,15.2,
1617velv-casd-ec,6137,RoBowties,9,4,230,80,6,,0.33,32.8,30.2,
1617velv-casd-ec,2885,Kronos,10,4,170,65,6,,0.33,8.2,10.5,
