TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot, 
1617velv-casd-fp1-Q-2,Q-2,10-40 B,5131,9266,0,11278,10092,0,10,40,
1617velv-casd-fp1-Q-3,Q-3,70-20 R,11285,5229,0,5540,11107,0,70,20,
1617velv-casd-fp1-Q-4,Q-4,12-20 B,9261,5135,0,4262,5131,0,12,20,
1617velv-casd-fp1-Q-5,Q-5,40-20 R,9266,5540,0,8380,8000,0,40,20,
1617velv-casd-fp1-Q-6,Q-6,41-0 R,5229,5135,0,11278,10564,0,41,0,
1617velv-casd-fp1-Q-7,Q-7,31-40 B,11107,8039,0,10092,9261,0,31,40,
1617velv-casd-fp1-Q-8,Q-8,2-0 R,4262,5135,0,11285,8000,0,2,0,
1617velv-casd-fp1-Q-9,Q-9,0-40 B,9261,10564,0,5131,5540,0,0,40,
1617velv-casd-fp1-Q-10,Q-10,10-20 B,11285,11278,0,10092,8380,0,10,20,
1617velv-casd-fp1-Q-11,Q-11,40-26 R,4262,5229,0,9266,8039,0,40,26,
1617velv-casd-fp1-Q-12,Q-12,45-25 R,11107,10092,0,8000,10564,0,45,25,
1617velv-casd-fp1-Q-13,Q-13,2-52 B,5131,11285,0,8039,5229,0,2,52,
1617velv-casd-fp1-Q-14,Q-14,30-10 R,9261,5540,0,9266,5135,0,30,10,
1617velv-casd-fp1-Q-15,Q-15,0-20 B,8380,11278,0,11107,4262,0,0,20,
1617velv-casd-fp1-Q-16,Q-16,0-54 B,10564,9266,0,11285,8039,0,0,54,
1617velv-casd-fp1-Q-17,Q-17,50-11 R,5229,8380,0,5135,10092,0,50,11,
1617velv-casd-fp1-Q-18,Q-18,5-40 B,5131,11107,0,4262,5540,0,5,40,
1617velv-casd-fp1-Q-19,Q-19,50-10 R,8000,11278,0,9261,11285,0,50,10,
1617velv-casd-fp1-Q-20,Q-20,11-5 R,5131,5135,0,11107,9266,0,11,5,
1617velv-casd-fp1-Q-21,Q-21,50-20 R,10092,10564,0,4262,9261,0,50,20,
1617velv-casd-fp1-Q-22,Q-22,15-31 B,8000,5540,0,11278,8039,0,15,31,
1617velv-casd-fp1-Q-23,Q-23,20-40 B,8380,9261,0,5229,5131,0,20,40,
1617velv-casd-rr1-Q-1,Q-1,10-0 R,10793,9022,0,12405,6226,0,10,0,
1617velv-casd-rr1-Q-2,Q-2,10-80 B,8605,5015,0,8471,8606,0,10,80,
1617velv-casd-rr1-Q-3,Q-3,145-0 R,11212,9049,0,12406,7696,0,145,0,
1617velv-casd-rr1-Q-4,Q-4,60-42 R,3848,12405,0,9164,11328,0,60,42,
1617velv-casd-rr1-Q-5,Q-5,10-10 T,7696,5015,0,6226,9022,0,10,10,
1617velv-casd-rr1-Q-6,Q-6,12-105 B,10793,9164,0,8471,12406,0,12,105,
1617velv-casd-rr1-Q-7,Q-7,40-20 R,11328,3848,0,9049,8606,0,40,20,
1617velv-casd-rr1-Q-8,Q-8,10-30 B,8605,12405,0,11212,5015,0,10,30,
1617velv-casd-rr1-Q-9,Q-9,65-16 R,9022,8606,0,9049,12406,0,65,16,
1617velv-casd-rr1-Q-10,Q-10,60-25 R,11328,7696,0,8605,10793,0,60,25,
1617velv-casd-rr1-Q-11,Q-11,40-120 B,6226,8471,0,11212,3848,0,40,120,
1617velv-casd-rr1-Q-12,Q-12,70-43 R,7696,9049,0,9164,5015,0,70,43,
1617velv-casd-rr1-Q-13,Q-13,120-65 R,8605,12406,0,9022,3848,0,120,65,
1617velv-casd-rr1-Q-14,Q-14,0-80 B,8606,6226,0,8471,12405,0,0,80,
1617velv-casd-rr1-Q-15,Q-15,85-10 R,11212,9164,0,11328,10793,0,85,10,
1617velv-casd-rr1-Q-16,Q-16,100-45 R,8471,3848,0,7696,12405,0,100,45,
1617velv-casd-rr1-Q-17,Q-17,5-100 B,8606,5015,0,11212,10793,0,5,100,
1617velv-casd-rr1-Q-18,Q-18,50-50 T,9164,9049,0,8605,6226,0,50,50,
1617velv-casd-rr1-Q-19,Q-19,15-35 B,12406,9022,0,11328,8471,0,15,35,
1617velv-casd-rr1-Q-20,Q-20,10-50 B,10793,12405,0,8605,9049,0,10,50,
1617velv-casd-rr1-Q-21,Q-21,60-50 R,8606,9164,0,7696,9022,0,60,50,
1617velv-casd-rr1-Q-22,Q-22,40-0 R,11328,12406,0,6226,5015,0,40,0,
1617velv-casd-rr1-Q-23,Q-23,70-55 R,11212,9022,0,3848,9049,0,70,55,
1617velv-casd-ec-Q-1,Q-1,25-0 R,5828,9892,0,10221,2885,0,25,0,
1617velv-casd-ec-Q-2,Q-2,36-10 R,9920,11656,0,11350,7542,0,36,10,
1617velv-casd-ec-Q-3,Q-3,80-55 R,9441,6016,0,8472,6137,0,80,55,
1617velv-casd-ec-Q-4,Q-4,0-10 B,8906,7542,0,6003,6074,0,0,10,
1617velv-casd-ec-Q-5,Q-5,150-0 R,9441,11656,0,6016,9892,0,150,0,
1617velv-casd-ec-Q-6,Q-6,30-12 R,8472,11350,0,10221,8906,0,30,12,
1617velv-casd-ec-Q-7,Q-7,80-40 R,6074,6137,0,6003,5828,0,80,40,
1617velv-casd-ec-Q-8,Q-8,60-65 B,9920,10221,0,2885,9441,0,60,65,
1617velv-casd-ec-Q-9,Q-9,30-30 T,6003,6137,0,7542,9892,0,30,30,
1617velv-casd-ec-Q-10,Q-10,15-20 B,5828,2885,0,8906,6016,0,15,20,
1617velv-casd-ec-Q-11,Q-11,40-51 B,9920,8472,0,11656,6074,0,40,51,
1617velv-casd-ec-Q-12,Q-12,30-0 R,11350,6016,0,6003,7542,0,30,0,
1617velv-casd-ec-Q-13,Q-13,45-45 T,10221,11656,0,8906,6137,0,45,45,
1617velv-casd-ec-Q-14,Q-14,5-85 B,8472,5828,0,9892,9920,0,5,85,
1617velv-casd-ec-Q-15,Q-15,40-95 B,6074,2885,0,9441,11350,0,40,95,
1617velv-casd-ec-Q-16,Q-16,45-50 B,9892,8906,0,6016,9920,0,45,50,
1617velv-casd-ec-Q-17,Q-17,0-110 B,11350,6003,0,9441,5828,0,0,110,
1617velv-casd-ec-Q-18,Q-18,40-55 B,6137,7542,0,2885,8472,0,40,55,
