Date,Event Name,Event Region,Event Type,Division,Match Type,Match Number,Red Team 1,Red Team 2,Red Team 3,Blue Team 1,Blue Team 2,Blue Team 3,Red 1 no show / DQ ,Red 2 no show / DQ ,Red 3 no show / DQ ,Red 1 Yellow Card,Red 2 Yellow Card,Red 3 Yellow Card,Blue 1 no show / DQ ,Blue 2 no show / DQ ,Blue 3 no show / DQ ,Blue 1 Yellow Card,Blue 2 Yellow Card,Blue 3 Yellow Card,Red 1 Surrogate,Red 2 Surrogate,Red 3 Surrogate,Blue 1 Surrogate,Blue 2 Surrogate,Blue 3 Surrogate,Match saved flag,Autonomous Beacon Claimed,Autonomous Cap Ball removed,Autonomous particles scored in Center Vortex,Autonomous Particles scored in Corner Vortex,Autonomous Robot 1 location,Autonomous Robot 2 location,Driver controlled Beacons Claimed,Driver Controlled – Particles Scored in Center Vortex,Driver Controlled – Particles scored in Corner Vortex,End Game – Cap Ball,Minor Penalty Incurred,Major Penalty Incurred,Minor Penalty Awarded,Major Penalty Awarded,Autonomous Beacon Claimed,Autonomous Cap Ball removed,Autonomous particles scored in Center Vortex,Autonomous Particles scored in Corner Vortex,Autonomous Robot 1 location,Autonomous Robot 2 location,Driver controlled Beacons Claimed,Driver Controlled – Particles Scored in Center Vortex,Driver Controlled – Particles scored in Corner Vortex,End Game – Cap Ball,Minor Penalty Incurred,Major Penalty Incurred,Minor Penalty Awarded,Major Penalty Awarded
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,9,11529,11430,0,8995,8081,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,2,TRUE,0,0,1,0,4,0,0,1,0,0,0,1
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,10,8570,11644,0,6900,7167,0,0,0,0,FALSE,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,3,0,1,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,0,0,0,0,1,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,11,8081,11529,0,7167,8570,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,3,0,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,12,8995,11430,0,6900,11644,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,1,0,3,0,0,1,0,0,0,0,0,TRUE,0,0,0,0,1,0,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,13,11701,7167,0,12244,11529,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,3,0,3,0,2,0,0,0,0,0,0,TRUE,0,0,1,0,0,0,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,3,11,8995,11701,0,6900,11529,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,0,0,1,3,4,0,2,0,0,0,0,1,0,FALSE,0,0,1,0,0,0,0,0,0,1,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,3,21,11644,8570,0,11430,7167,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,3,1,1,0,0,0,0,1,0,0,0,TRUE,0,0,1,3,1,0,1,0,0,0,0,1
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,3,12,8995,11701,0,6900,11529,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,1,3,4,0,1,1,0,0,0,0,0,FALSE,0,0,1,0,0,0,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,3,22,11644,8570,0,11430,7167,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,3,1,0,0,0,0,0,0,0,0,TRUE,0,0,3,0,2,0,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,4,1,8995,11701,0,11430,7167,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,1,3,3,0,1,0,0,0,0,0,0,TRUE,0,0,1,0,1,0,1,0,0,0,0,0
