01/21/2017,North Carolina Boone,North Carolina,Qualifying Tournament,1,nc,bo,x,nc-bo,NC,D
10/29/2016,Oklahoma SWOSU,Oklahoma,Qualifying Tournament,1,ok,sw,x,ok-sw,OK,R
11/12/2016,Oklahoma Gordon Cooper,Oklahoma,Qualifying Tournament,1,ok,gc,x,ok-gc,OK,R
11/19/2016,Oklahoma Bishop Kelley,Oklahoma,Qualifying Tournament,1,ok,bk,x,ok-bk,OK,R
11/19/2016,Oregon Beaverton 1,Oregon,Meet,1,or,be1,x,or-be1,OR,R
12/03/2016,Oregon Beaverton 2,Oregon,Meet,1,or,be2,x,or-be2,OR,R
11/19/2016,Oregon Capitol 1,Oregon,Meet,1,or,ca1,x,or-ca1,OR,R
12/03/2016,Oregon Capitol 2,Oregon,Meet,1,or,ca2,x,or-ca2,OR,R
11/17/2016,Oregon Central 1,Oregon,Meet,1,or,ce1,x,or-ce1,OR,R
12/01/2016,Oregon Central 2,Oregon,Meet,1,or,ce2,x,or-ce2,OR,R
11/15/2016,Oregon Columbia Basin A 1,Oregon,Meet,1,or,cba1,x,or-cba1,OR,R
11/29/2016,Oregon Columbia Basin A 2,Oregon,Meet,1,or,cba2,x,or-cba2,OR,R
12/13/2016,Oregon Columbia Basin A 3,Oregon,Meet,1,or,cba3,x,or-cba3,OR,R
11/15/2016,Oregon Columbia Basin B 1,Oregon,Meet,1,or,cbb1,x,or-cbb1,OR,R
11/29/2016,Oregon Columbia Basin B 2,Oregon,Meet,1,or,cbb2,x,or-cbb2,OR,R
12/13/2016,Oregon Columbia Basin B 3,Oregon,Meet,1,or,cbb3,x,or-cbb3,OR,R
11/19/2016,Oregon Hillsboro A 1,Oregon,Meet,1,or,ha1,x,or-ha1,OR,R
11/19/2016,Oregon Hillsboro B 1,Oregon,Meet,1,or,hb1,x,or-hb1,OR,R
11/17/2016,Oregon Mid Columbia 1,Oregon,Meet,1,or,mc1,x,or-mc1,OR,R
12/01/2016,Oregon Mid Columbia 2,Oregon,Meet,1,or,mc2,x,or-mc2,OR,R
11/19/2016,Oregon Mid-Western 1,Oregon,Meet,1,or,mw1,x,or-mw1,OR,R
12/10/2016,Oregon Mid-Western 2,Oregon,Meet,1,or,mw2,x,or-mw2,OR,R
12/10/2016,Oregon Mid-Western 3,Oregon,Meet,1,or,mw3,x,or-mw3,OR,R
11/17/2016,Oregon Portland 1,Oregon,Meet,1,or,po1,x,or-po1,OR,R
12/02/2016,Oregon Portland 2,Oregon,Meet,1,or,po2,x,or-po2,OR,R
11/19/2016,Oregon SOAR 1,Oregon,Meet,1,or,so1,x,or-so1,OR,R
12/10/2016,Oregon SOAR 2,Oregon,Meet,1,or,so2,x,or-so2,OR,R
12/10/2016,Oregon SOAR 3,Oregon,Meet,1,or,so3,x,or-so3,OR,R
11/19/2016,Pennsylvania Eastern,Pennsylvania,Qualifying Tournament,1,pa,ea,x,pa-ea,PA,D
12/3/2016,Pennsylvania Pittsburgh Area,Pennsylvania,Qualifying Tournament,1,pa,pi,x,pa-pi,PA,D
12/10/2016,Pennsylvania Hat Tricks,Pennsylvania,Qualifying Tournament,1,pa,ht,x,pa-ht,PA,D
01/07/2017,Pennsylvania Southeastern,Pennsylvania,Qualifying Tournament,1,pa,se,x,pa-se,PA,D
01/14/2017,Pennsylvania Southwestern,Pennsylvania,Qualifying Tournament,1,pa,sw,x,pa-sw,PA,D
01/21/2017,Pennsylvania Southcentral,Pennsylvania,Qualifying Tournament,1,pa,sc,x,pa-sc,PA,D
01/28/2017,Pennsylvania Philadelphia,Pennsylvania,Qualifying Tournament,1,pa,ph,x,pa-ph,PA,D
02/11/2017,Pennsylvania Lehigh Valley,Pennsylvania,Qualifying Tournament,1,pa,lv,x,pa-lv,PA,D
02/25/2017,Pennsylvania Championship,Pennsylvania,Championship Tournament,1,pa,cmp,x,pa-cmp,PA,D
11/14/2016,Texas AML Clubs M1,Texas AL,Meet,1,txal,amlc1,x,txal-amlc1,TX,D
11/12/2016,Texas AML Diamonds M1,Texas AL,Meet,1,txal,amld1,x,txal-amld1,TX,D
